InvoiceNo,CustomerID,CustomerPhoneNo,Description,Quantity,InvoiceDate,UnitPrice,TotalPrice,Location,Email
INV10000,CUST1096,8.80E+12,Biscuits 200g,7,6/30/2024,208.15,1457.05,Mirpur,dummy@gmail.com
INV10001,CUST1095,8.80E+12,Biscuits 200g,4,2/26/2025,442.23,1768.92,Mohammadpur,dummy@gmail.com
INV10002,CUST1070,8.80E+12,Biscuits 200g,8,1/26/2024,180.49,1443.92,Gulshan,dummy@gmail.com
INV10003,CUST1078,8.80E+12,Cooking Oil 1L,5,7/2/2024,1113.4,5567,Banani,dummy@gmail.com
INV10004,CUST1029,8.80E+12,Sugar 1kg,7,12/6/2024,1058.94,7412.58,Dhanmondi,dummy@gmail.com
INV10005,CUST1063,8.80E+12,Toothpaste 100ml,3,2/25/2025,346.63,1039.89,Uttara,dummy@gmail.com
INV10006,CUST1029,8.80E+12,Soap 75g,7,9/11/2024,808.98,5662.86,Bashundhara,dummy@gmail.com
INV10007,CUST1035,8.80E+12,Biscuits 200g,8,9/30/2024,989.81,7918.48,Tejgaon,dummy@gmail.com
INV10008,CUST1056,8.80E+12,Salt 1kg,5,6/12/2024,688.48,3442.4,Motijheel,dummy@gmail.com
INV10009,CUST1063,8.80E+12,Shampoo 200ml,4,4/20/2024,659.1,2636.4,Farmgate,dummy@gmail.com
INV10010,CUST1004,8.80E+12,Shampoo 200ml,8,1/26/2025,328.13,2625.04,Mirpur,khalid35-877@diu.edu.bd
INV10011,CUST1050,8.80E+12,Cooking Oil 1L,8,2/9/2024,157.07,1256.56,Mohammadpur,dummy@gmail.com
INV10012,CUST1044,8.80E+12,Rice 5kg Bag,3,4/26/2025,1081.8,3245.4,Gulshan,dummy@gmail.com
INV10013,CUST1086,8.80E+12,Tea Pack 250g,6,8/15/2024,1085.48,6512.88,Banani,dummy@gmail.com
INV10014,CUST1087,8.80E+12,Salt 1kg,5,7/23/2024,778.07,3890.35,Dhanmondi,dummy@gmail.com
INV10015,CUST1052,8.80E+12,Biscuits 200g,2,4/16/2025,439.88,879.76,Uttara,dummy@gmail.com
INV10016,CUST1093,8.80E+12,Cooking Oil 1L,8,12/24/2024,451.59,3612.72,Bashundhara,dummy@gmail.com
INV10017,CUST1022,8.80E+12,Toothpaste 100ml,6,11/8/2024,884.85,5309.1,Tejgaon,dummy@gmail.com
INV10018,CUST1060,8.80E+12,Milk Powder 500g,2,8/21/2024,1081.68,2163.36,Motijheel,dummy@gmail.com
INV10019,CUST1017,8.80E+12,Biscuits 200g,5,8/16/2024,1070.15,5350.75,Farmgate,dummy@gmail.com
INV10020,CUST1080,8.80E+12,Toothpaste 100ml,1,1/25/2024,946.86,946.86,Mirpur,dummy@gmail.com
INV10021,CUST1069,8.80E+12,Cooking Oil 1L,6,7/16/2024,788.34,4730.04,Mohammadpur,dummy@gmail.com
INV10022,CUST1004,8.80E+12,Milk Powder 500g,9,2/12/2025,146.76,1320.84,Gulshan,dummy@gmail.com
INV10023,CUST1051,8.80E+12,Biscuits 200g,1,12/2/2024,235.87,235.87,Banani,dummy@gmail.com
INV10024,CUST1076,8.80E+12,Biscuits 200g,3,10/12/2024,1083.34,3250.02,Dhanmondi,dummy@gmail.com
INV10025,CUST1073,8.80E+12,Tea Pack 250g,7,3/12/2024,747.39,5231.73,Uttara,dummy@gmail.com
INV10026,CUST1085,8.80E+12,Milk Powder 500g,4,10/12/2024,60.58,242.32,Bashundhara,dummy@gmail.com
INV10027,CUST1004,8.80E+12,Tea Pack 250g,9,12/25/2024,166.69,1500.21,Tejgaon,dummy@gmail.com
INV10028,CUST1011,8.80E+12,Soap 75g,3,10/18/2025,813.03,2439.09,Motijheel,dummy@gmail.com
INV10029,CUST1083,8.80E+12,Milk Powder 500g,5,6/5/2025,55.82,279.1,Farmgate,dummy@gmail.com
INV10030,CUST1055,8.80E+12,Soap 75g,3,2/13/2025,234.93,704.79,Mirpur,dummy@gmail.com
INV10031,CUST1018,8.80E+12,Salt 1kg,7,7/3/2025,681.04,4767.28,Mohammadpur,dummy@gmail.com
INV10032,CUST1060,8.80E+12,Sugar 1kg,5,12/5/2024,845.68,4228.4,Gulshan,dummy@gmail.com
INV10033,CUST1024,8.80E+12,Shampoo 200ml,9,1/29/2024,799.76,7197.84,Banani,dummy@gmail.com
INV10034,CUST1007,8.80E+12,Rice 5kg Bag,7,4/28/2024,307.91,2155.37,Dhanmondi,khalid35-877@diu.edu.bd
INV10035,CUST1034,8.80E+12,Rice 5kg Bag,2,9/24/2024,869.01,1738.02,Uttara,dummy@gmail.com
INV10036,CUST1049,8.80E+12,Cooking Oil 1L,4,7/1/2024,322.84,1291.36,Bashundhara,dummy@gmail.com
INV10037,CUST1042,8.80E+12,Cooking Oil 1L,9,8/17/2025,424.21,3817.89,Tejgaon,dummy@gmail.com
INV10038,CUST1028,8.80E+12,Rice 5kg Bag,2,9/28/2024,908.47,1816.94,Motijheel,dummy@gmail.com
INV10039,CUST1059,8.80E+12,Tea Pack 250g,9,2/9/2024,797.08,7173.72,Farmgate,dummy@gmail.com
INV10040,CUST1042,8.80E+12,Rice 5kg Bag,5,4/21/2024,1026.61,5133.05,Mirpur,dummy@gmail.com
